Provider/Channel,Sattelite_Name,freq_alt,encryption_alt
Channel Nine Melbourne,Intelsat-19,12569 V,
9 Go!,Intelsat-19,12569 V,
9 Go!,Intelsat-19,12569 V,
9 Go!,Intelsat-19,12569 V,
9 Go!,Intelsat-19,12569 V,
9 Life,Intelsat-19,12569 V,
9 Life,Intelsat-19,12569 V,
9 Life,Intelsat-19,12569 V,
9 Life,Intelsat-19,12569 V,
9 GEM Melbourne,Intelsat-19,12569 V,
9 GEM Melbourne,Intelsat-19,12569 V,
9 Rush Melbourne,Intelsat-19,12569 V,
Channel Nine Brisbane,Intelsat-19,12569 V,
Channel Nine Brisbane,Intelsat-19,12569 V,
9 GEM Brisbane,Intelsat-19,12569 V,
9 GEM Brisbane,Intelsat-19,12569 V,
9 Rush Brisbane,Intelsat-19,12569 V,
Channel Nine Adelaide,Intelsat-19,12569 V,
Channel Nine Adelaide,Intelsat-19,12569 V,
9 GEM Adelaide,Intelsat-19,12569 V,
9 Rush Adelaide,Intelsat-19,12569 V,
Channel Nine Perth,Intelsat-19,12569 V,
Channel Nine Perth,Intelsat-19,12569 V,
9 GEM Perth,Intelsat-19,12569 V,
9 GEM Perth,Intelsat-19,12569 V,
9 Rush Perth,Intelsat-19,12569 V,
EXRN Radio Network 1,Intelsat-19,12590 H,
EXRN Radio Network 2,Intelsat-19,12590 H,
Mega TV,Intelsat-19,12606 H,
Open Beyond TV,Intelsat-19,12606 H,
Star Channel (Greece),Intelsat-19,12606 H,
Alpha TV,Intelsat-19,12606 H,
Action 24,Intelsat-19,12606 H,
Attica TV,Intelsat-19,12606 H,
One Channel,Intelsat-19,12606 H,
Kanal 7 Avrupa,Intelsat-19,12606 H,
Dream Türk,Intelsat-19,12606 H,
Show Turk,Intelsat-19,12606 H,
ATV Avrupa,Intelsat-19,12606 H,
Habertürk,Intelsat-19,12606 H,
TRT 1,Intelsat-19,12606 H,
Euro D,Intelsat-19,12606 H,
Kanal 5 (North Macedonia),Intelsat-19,12606 H,
Sitel TV,Intelsat-19,12606 H,
Arena Sport 1 (Serbia),Intelsat-19,12606 H,
Pink Premium,Intelsat-19,12606 H,
Mis TV,Intelsat-19,12606 H,
Prva Srpska TV,Intelsat-19,12606 H,
Canal 24 Horas,Intelsat-19,12606 H,
TVE Internacional Asia,Intelsat-19,12606 H,
RTP Internacional Ásia,Intelsat-19,12606 H,
Ant1 Pacific,Intelsat-19,12606 H,
Rai Italia Australia,Intelsat-19,12606 H,Irdeto
Alkarma TV Middle East,Intelsat-19,12606 H,
Oman TV,Intelsat-19,12606 H,
Al-Fady TV,Intelsat-19,12606 H,
ERI TV 1,Intelsat-19,12606 H,
KTV 1 (Kuwait),Intelsat-19,12606 H,
SSBC TV,Intelsat-19,12606 H,
TRT Türk,Intelsat-19,12606 H,
Daystar TV,Intelsat-19,12606 H,
SBN International,Intelsat-19,12606 H,
The Kingdom Sat,Intelsat-19,12606 H,
3ABN International,Intelsat-19,12606 H,
Angel TV Australia,Intelsat-19,12606 H,
Supreme Master TV,Intelsat-19,12606 H,
K Mart Radio 1,Intelsat-19,12606 H,
Radio Oman,Intelsat-19,12606 H,
Vision Christian Radio,Intelsat-19,12606 H,
Dimtsi Hafash,Intelsat-19,12606 H,
Radio Zara FM,Intelsat-19,12606 H,
Radio Numa,Intelsat-19,12606 H,
3ABN Radio Network,Intelsat-19,12606 H,
3ABN Australia Radio,Intelsat-19,12606 H,
Raw FM,Intelsat-19,12606 H,
Kuwait Radio One,Intelsat-19,12606 H,
Kuwait Radio Two,Intelsat-19,12606 H,
SSBC Radio,Intelsat-19,12606 H,
RSN Racing & Sport,Intelsat-19,12606 H,
Nippon TV,Superbird-B3,12314 H,BISS
NTV News 24,Superbird-B3,12324 H,BISS
(TBS feeds),Superbird-B3,12348 H,
(NTV feeds),Superbird-B3,12354 H,
(Fuji TV feeds),Superbird-B3,12395 H,
TVNZ Duke,Optus-D2,12358 H,
TVNZ Duke,Optus-D2,12483 H,
Aljazeera English,Optus-D2,12394 H,
ABC Radio Sydney,Optus-D2,12443 V,
ABC Radio Sydney,Optus-D2,12443 V,
ABC Radio Sydney,Optus-D2,12443 V,
ABC Radio Sydney,Optus-D2,12470 H,
ABC Radio Sydney,Optus-D2,12658 H,
ABC Double J,Optus-D2,12443 V,
ABC Double J,Optus-D2,12470 H,
ABC Double J,Optus-D2,12470 H,
ABC Double J,Optus-D2,12470 H,
ABC Double J,Optus-D2,12470 H,
ABC Double J,Optus-D2,12470 H,
ABC Double J,Optus-D2,12470 H,
ABC Double J,Optus-D2,12658 H,
ABC Double J,Optus-D2,12658 H,
ABC Double J,Optus-D2,12658 H,
ABC Double J,Optus-D2,12658 H,
ABC Double J,Optus-D2,12658 H,
ABC Double J,Optus-D2,12658 H,
ABC Classic,Optus-D2,12443 V,
ABC Classic,Optus-D2,12470 H,
ABC Classic,Optus-D2,12470 H,
ABC Classic,Optus-D2,12470 H,
ABC Classic,Optus-D2,12470 H,
ABC Classic,Optus-D2,12470 H,
ABC Classic,Optus-D2,12470 H,
ABC Classic,Optus-D2,12658 H,
ABC Classic,Optus-D2,12658 H,
ABC Classic,Optus-D2,12658 H,
ABC Classic,Optus-D2,12658 H,
ABC Classic,Optus-D2,12658 H,
ABC Classic,Optus-D2,12658 H,
ABC Sport,Optus-D2,12443 V,
ABC Sport,Optus-D2,12445 V,
ABC NewsRadio,Optus-D2,12443 V,
ABC NewsRadio,Optus-D2,12470 H,
ABC NewsRadio,Optus-D2,12470 H,
ABC NewsRadio,Optus-D2,12470 H,
ABC NewsRadio,Optus-D2,12470 H,
